Exporter,ExporterCode,Continent,Continent ID,Importer,Country ID,ImporterCode,TradeValue,Year
Brazil,BRA,South America,sa,Paraguay,sapry,PRY,626,2019
Brazil,BRA,Africa,af,Liberia,aflbr,LBR,771,2020
Brazil,BRA,Africa,af,Mozambique,afmoz,MOZ,569,2020
Brazil,BRA,Asia,as,China,aschn,CHN,141,2020
Brazil,BRA,Asia,as,Hong Kong,ashkg,HKG,328,2020
Brazil,BRA,Europe,eu,Belgium,eubel,BEL,39,2020
Brazil,BRA,Europe,eu,Denmark,eudnk,DNK,45,2020
Brazil,BRA,Europe,eu,United Kingdom,eugbr,GBR,83,2020
Brazil,BRA,Europe,eu,Greece,eugrc,GRC,22,2020
Brazil,BRA,Europe,eu,Malta,eumlt,MLT,23,2020
Brazil,BRA,Europe,eu,Netherlands,eunld,NLD,24,2020
Brazil,BRA,Europe,eu,Norway,eunor,NOR,23,2020
Brazil,BRA,North America,na,Bahamas,nabhs,BHS,174,2020
Brazil,BRA,North America,na,Panama,napan,PAN,114,2020
Brazil,BRA,Oceania,oc,Marshall Islands,ocmhl,MHL,26,2020
Brazil,BRA,South America,sa,Argentina,saarg,ARG,136,2020
Brazil,BRA,South America,sa,Paraguay,sapry,PRY,8588,2020
Brazil,BRA,Africa,af,Liberia,aflbr,LBR,36,2021
Brazil,BRA,Asia,as,China,aschn,CHN,4149,2021
Brazil,BRA,Asia,as,Hong Kong,ashkg,HKG,24,2021
Brazil,BRA,Europe,eu,Germany,eudeu,DEU,481,2021
Brazil,BRA,Europe,eu,United Kingdom,eugbr,GBR,81,2021
Brazil,BRA,Europe,eu,Norway,eunor,NOR,24,2021
Brazil,BRA,Oceania,oc,Marshall Islands,ocmhl,MHL,44,2021
Canada,CAN,Asia,as,Israel,asisr,ISR,2000,2018
Canada,CAN,Asia,as,South Korea,askor,KOR,127,2018
Canada,CAN,Europe,eu,Switzerland,euche,CHE,95,2018
Canada,CAN,Europe,eu,Czechia,eucze,CZE,22792,2018
Canada,CAN,Europe,eu,Germany,eudeu,DEU,723,2018
Canada,CAN,Europe,eu,United Kingdom,eugbr,GBR,212314,2018
Canada,CAN,Europe,eu,Netherlands,eunld,NLD,47567,2018
Canada,CAN,Europe,eu,Russia,eurus,RUS,3993,2018
Canada,CAN,North America,na,Costa Rica,nacri,CRI,106556,2018
Canada,CAN,North America,na,United States,nausa,USA,6065354,2018
Canada,CAN,Asia,as,Indonesia,asidn,IDN,983,2019
Canada,CAN,Asia,as,Japan,asjpn,JPN,2081,2019
Canada,CAN,Asia,as,South Korea,askor,KOR,4092,2019
Canada,CAN,Asia,as,Singapore,assgp,SGP,6,2019
Canada,CAN,Europe,eu,Germany,eudeu,DEU,774,2019
Canada,CAN,Europe,eu,France,eufra,FRA,7347,2019
Canada,CAN,Europe,eu,United Kingdom,eugbr,GBR,54122,2019
Canada,CAN,Europe,eu,Netherlands,eunld,NLD,39720,2019
Canada,CAN,Europe,eu,Russia,eurus,RUS,18248,2019
Canada,CAN,North America,na,Costa Rica,nacri,CRI,47654,2019
Canada,CAN,North America,na,United States,nausa,USA,3891650,2019
Canada,CAN,Oceania,oc,New Zealand,ocnzl,NZL,10813,2019
Canada,CAN,Asia,as,South Korea,askor,KOR,38,2020
Canada,CAN,Asia,as,Singapore,assgp,SGP,7,2020
Canada,CAN,Europe,eu,Austria,euaut,AUT,70,2020
Canada,CAN,Europe,eu,Belgium,eubel,BEL,177,2020
Canada,CAN,Europe,eu,Switzerland,euche,CHE,29,2020
Canada,CAN,Europe,eu,Germany,eudeu,DEU,81,2020
Canada,CAN,Europe,eu,France,eufra,FRA,262,2020
Canada,CAN,Europe,eu,United Kingdom,eugbr,GBR,4731,2020
Canada,CAN,Europe,eu,Netherlands,eunld,NLD,7082,2020
Canada,CAN,Europe,eu,Russia,eurus,RUS,119476,2020
Canada,CAN,North America,na,Costa Rica,nacri,CRI,681,2020
Canada,CAN,North America,na,Panama,napan,PAN,696,2020
Canada,CAN,North America,na,United States,nausa,USA,4562304,2020
Canada,CAN,Oceania,oc,New Zealand,ocnzl,NZL,14570,2020
Canada,CAN,Asia,as,China,aschn,CHN,711,2021
Canada,CAN,Europe,eu,Belgium,eubel,BEL,142,2021
Canada,CAN,Europe,eu,Czechia,eucze,CZE,132,2021
Canada,CAN,Europe,eu,France,eufra,FRA,414,2021
Canada,CAN,Europe,eu,United Kingdom,eugbr,GBR,9640,2021
Canada,CAN,Europe,eu,Netherlands,eunld,NLD,10594,2021
Canada,CAN,Europe,eu,Russia,eurus,RUS,92085,2021
Canada,CAN,North America,na,Panama,napan,PAN,696,2021
Canada,CAN,North America,na,United States,nausa,USA,9307014,2021
Chile,CHL,Europe,eu,Germany,eudeu,DEU,6475,2018
Chile,CHL,Europe,eu,Spain,euesp,ESP,140551,2018
Chile,CHL,North America,na,Canada,nacan,CAN,3412,2018
Chile,CHL,Europe,eu,Germany,eudeu,DEU,137,2019
Chile,CHL,Europe,eu,Spain,euesp,ESP,190318,2019
Chile,CHL,Europe,eu,France,eufra,FRA,22312,2019
Chile,CHL,North America,na,Canada,nacan,CAN,17773,2019
Chile,CHL,Europe,eu,Belgium,eubel,BEL,138,2021
Chile,CHL,Europe,eu,France,eufra,FRA,167,2021
Congo,COG,North America,na,Canada,nacan,CAN,497,2018
Congo,COG,Europe,eu,Germany,eudeu,DEU,150,2019
Congo,COG,North America,na,Canada,nacan,CAN,30,2019
Congo,COG,North America,na,Canada,nacan,CAN,1118,2020
Congo,COG,North America,na,Canada,nacan,CAN,1237,2021
Ecuador,ECU,Europe,eu,Switzerland,euche,CHE,297,2018
Ecuador,ECU,Europe,eu,Spain,euesp,ESP,119,2018
Ecuador,ECU,Europe,eu,United Kingdom,eugbr,GBR,105316,2018
Ecuador,ECU,Europe,eu,Netherlands,eunld,NLD,36824,2018
Ecuador,ECU,North America,na,United States,nausa,USA,295486,2018
Ecuador,ECU,Europe,eu,United Kingdom,eugbr,GBR,59453,2019
Ecuador,ECU,Europe,eu,Netherlands,eunld,NLD,23777,2019
Ecuador,ECU,North America,na,Canada,nacan,CAN,3855,2019
Ecuador,ECU,North America,na,Panama,napan,PAN,773,2019
Ecuador,ECU,North America,na,United States,nausa,USA,296352,2019
Ecuador,ECU,Europe,eu,United Kingdom,eugbr,GBR,63884,2020
Ecuador,ECU,Europe,eu,Netherlands,eunld,NLD,30476,2020
Ecuador,ECU,North America,na,Canada,nacan,CAN,1312,2020
Ecuador,ECU,North America,na,United States,nausa,USA,188478,2020
Ecuador,ECU,Europe,eu,United Kingdom,eugbr,GBR,77931,2021
Ecuador,ECU,Europe,eu,Netherlands,eunld,NLD,142089,2021
Ecuador,ECU,North America,na,United States,nausa,USA,274331,2021
Ethiopia,ETH,Asia,as,United Arab Emirates,asare,ARE,20702,2021
Ghana,GHA,Africa,af,Mozambique,afmoz,MOZ,98,2018
Ghana,GHA,Europe,eu,Switzerland,euche,CHE,29,2019
Ghana,GHA,Europe,eu,Poland,eupol,POL,290,2019
Ghana,GHA,Africa,af,Kenya,afken,KEN,21,2020
Ghana,GHA,North America,na,United States,nausa,USA,4048,2020
Ghana,GHA,Europe,eu,United Kingdom,eugbr,GBR,2241,2021
Ghana,GHA,Europe,eu,Hungary,euhun,HUN,2349,2021
Guyana,GUY,Asia,as,Japan,asjpn,JPN,20,2019
Guyana,GUY,Europe,eu,Russia,eurus,RUS,750,2019
Guyana,GUY,North America,na,United States,nausa,USA,1332,2019
Guyana,GUY,North America,na,United States,nausa,USA,2308,2020
Guyana,GUY,Europe,eu,Germany,eudeu,DEU,50,2021
Guyana,GUY,North America,na,United States,nausa,USA,2402,2021
Honduras,HON,North America,na,Panama,napan,PAN,906,2019
Kenya,KEN,Africa,af,Uganda,afuga,UGA,196249,2018
Kenya,KEN,Africa,af,South Africa,afzaf,ZAF,297422,2018
Kenya,KEN,Africa,af,Zambia,afzmb,ZMB,8757,2018
Kenya,KEN,Europe,eu,Austria,euaut,AUT,170,2018
Kenya,KEN,Europe,eu,United Kingdom,eugbr,GBR,810546,2018
Kenya,KEN,Europe,eu,Italy,euita,ITA,220870,2018
Kenya,KEN,Europe,eu,Netherlands,eunld,NLD,250671,2018
Kenya,KEN,Europe,eu,Russia,eurus,RUS,1040,2018
Kenya,KEN,North America,na,Canada,nacan,CAN,47224,2018
Kenya,KEN,North America,na,United States,nausa,USA,627955,2018
Kenya,KEN,Africa,af,Ethiopia,afeth,ETH,2336513,2019
Kenya,KEN,Africa,af,Uganda,afuga,UGA,282180,2019
Kenya,KEN,Africa,af,South Africa,afzaf,ZAF,350963,2019
Kenya,KEN,Africa,af,Zimbabwe,afzwe,ZWE,241231,2019
Kenya,KEN,Europe,eu,Belgium,eubel,BEL,77013,2019
Kenya,KEN,Europe,eu,United Kingdom,eugbr,GBR,519347,2019
Kenya,KEN,Europe,eu,Italy,euita,ITA,283388,2019
Kenya,KEN,Europe,eu,Netherlands,eunld,NLD,152975,2019
Kenya,KEN,Europe,eu,Russia,eurus,RUS,208,2019
Kenya,KEN,North America,na,Canada,nacan,CAN,274213,2019
Kenya,KEN,North America,na,United States,nausa,USA,284010,2019
Kenya,KEN,Africa,af,Ethiopia,afeth,ETH,2120490,2020
Kenya,KEN,Africa,af,Uganda,afuga,UGA,28903,2020
Kenya,KEN,Africa,af,South Africa,afzaf,ZAF,1453088,2020
Kenya,KEN,Africa,af,Zimbabwe,afzwe,ZWE,282286,2020
Kenya,KEN,Europe,eu,Belgium,eubel,BEL,1428656,2020
Kenya,KEN,Europe,eu,France,eufra,FRA,143492,2020
Kenya,KEN,Europe,eu,United Kingdom,eugbr,GBR,1640781,2020
Kenya,KEN,Europe,eu,Italy,euita,ITA,176249,2020
Kenya,KEN,Europe,eu,Netherlands,eunld,NLD,190340,2020
Kenya,KEN,North America,na,Canada,nacan,CAN,124700,2020
Kenya,KEN,North America,na,United States,nausa,USA,259903,2020
Kenya,KEN,Africa,af,Democratic Republic of the Congo,afcod,COD,177456,2021
Kenya,KEN,Africa,af,Ethiopia,afeth,ETH,3150848,2021
Kenya,KEN,Africa,af,Malawi,afmwi,MWI,1116,2021
Kenya,KEN,Africa,af,Uganda,afuga,UGA,3519,2021
Kenya,KEN,Africa,af,South Africa,afzaf,ZAF,278705,2021
Kenya,KEN,Africa,af,Zimbabwe,afzwe,ZWE,209855,2021
Kenya,KEN,Asia,as,Turkey,astur,TUR,912,2021
Kenya,KEN,Europe,eu,Belgium,eubel,BEL,2054285,2021
Kenya,KEN,Europe,eu,Denmark,eudnk,DNK,3087,2021
Kenya,KEN,Europe,eu,Spain,euesp,ESP,49585,2021
Kenya,KEN,Europe,eu,Finland,eufin,FIN,5,2021
Kenya,KEN,Europe,eu,France,eufra,FRA,7205,2021
Kenya,KEN,Europe,eu,United Kingdom,eugbr,GBR,1705942,2021
Kenya,KEN,Europe,eu,Italy,euita,ITA,289469,2021
Kenya,KEN,Europe,eu,Netherlands,eunld,NLD,1169801,2021
Kenya,KEN,North America,na,Canada,nacan,CAN,261804,2021
Kenya,KEN,North America,na,United States,nausa,USA,685418,2021
Madagascar,MDG,Asia,as,Vietnam,asvnm,VNM,11409,2018
Madagascar,MDG,Europe,eu,Czechia,eucze,CZE,462,2018
Madagascar,MDG,Europe,eu,Spain,euesp,ESP,516,2018
Madagascar,MDG,Europe,eu,France,eufra,FRA,5324,2018
Madagascar,MDG,Europe,eu,Hungary,euhun,HUN,450,2018
Madagascar,MDG,Asia,as,Japan,asjpn,JPN,526,2019
Madagascar,MDG,Europe,eu,France,eufra,FRA,49931,2019
Madagascar,MDG,Europe,eu,Netherlands,eunld,NLD,31532,2019
Madagascar,MDG,Europe,eu,Spain,euesp,ESP,965,2020
Malawi,MWI,Africa,af,Morocco,afmar,MAR,126,2019
Mauritius,MUS,Europe,eu,Austria,euaut,AUT,43,2021
Mexico,MEX,North America,na,Canada,nacan,CAN,1358006,2018
Mexico,MEX,North America,na,Costa Rica,nacri,CRI,43478,2018
Mexico,MEX,North America,na,Guatemala,nagtm,GTM,1709,2018
Mexico,MEX,North America,na,Honduras,nahnd,HND,625,2018
Mexico,MEX,North America,na,United States,nausa,USA,952880,2018
Mexico,MEX,Europe,eu,Netherlands,eunld,NLD,10716,2019
Mexico,MEX,North America,na,Canada,nacan,CAN,3629438,2019
Mexico,MEX,North America,na,Costa Rica,nacri,CRI,47352,2019
Mexico,MEX,North America,na,Dominican Republic,nadom,DOM,9921,2019
Mexico,MEX,North America,na,United States,nausa,USA,1218055,2019
Mexico,MEX,Europe,eu,Germany,eudeu,DEU,1692,2020
Mexico,MEX,Europe,eu,Netherlands,eunld,NLD,6699,2020
Mexico,MEX,North America,na,Canada,nacan,CAN,5196835,2020
Mexico,MEX,North America,na,Costa Rica,nacri,CRI,34624,2020
Mexico,MEX,North America,na,United States,nausa,USA,951341,2020
Mexico,MEX,Europe,eu,Belgium,eubel,BEL,37,2021
Mexico,MEX,Europe,eu,Netherlands,eunld,NLD,156421,2021
Mexico,MEX,North America,na,Canada,nacan,CAN,3317204,2021
Mexico,MEX,North America,na,Costa Rica,nacri,CRI,37258,2021
Mexico,MEX,North America,na,United States,nausa,USA,1139572,2021
Mozambique,MOZ,Africa,af,South Africa,afzaf,ZAF,1,2018
Mozambique,MOZ,Europe,eu,France,eufra,FRA,485,2021
Namibia,NAM,Africa,af,Botswana,afbwa,BWA,10,2018
New Zealand,NZL,Europe,eu,Belgium,eubel,BEL,245,2021
Nicaragua,NIC,Europe,eu,Spain,euesp,ESP,3498,2018
Nicaragua,NIC,Europe,eu,Netherlands,eunld,NLD,474,2018
Nicaragua,NIC,North America,na,Canada,nacan,CAN,895,2018
Nicaragua,NIC,North America,na,United States,nausa,USA,37000,2018
Nicaragua,NIC,Asia,as,Japan,asjpn,JPN,580,2019
Nicaragua,NIC,Europe,eu,Germany,eudeu,DEU,400,2019
Nicaragua,NIC,Europe,eu,Spain,euesp,ESP,4300,2019
Nicaragua,NIC,Europe,eu,United Kingdom,eugbr,GBR,1675,2019
Nicaragua,NIC,Europe,eu,Netherlands,eunld,NLD,206,2019
Nicaragua,NIC,North America,na,Canada,nacan,CAN,1163,2019
Nicaragua,NIC,North America,na,United States,nausa,USA,48464,2019
Nicaragua,NIC,Asia,as,Japan,asjpn,JPN,1125,2020
Nicaragua,NIC,Europe,eu,Czechia,eucze,CZE,140,2020
Nicaragua,NIC,Europe,eu,Spain,euesp,ESP,2630,2020
Nicaragua,NIC,Europe,eu,United Kingdom,eugbr,GBR,1650,2020
Nicaragua,NIC,Europe,eu,Netherlands,eunld,NLD,1020,2020
Nicaragua,NIC,North America,na,Canada,nacan,CAN,1762,2020
Nicaragua,NIC,North America,na,United States,nausa,USA,57455,2020
Nicaragua,NIC,Asia,as,Japan,asjpn,JPN,1435,2021
Nicaragua,NIC,Asia,as,Chinese Taipei,asxxb,,390,2021
Nicaragua,NIC,Europe,eu,Germany,eudeu,DEU,320,2021
Nicaragua,NIC,Europe,eu,Spain,euesp,ESP,4500,2021
Nicaragua,NIC,Europe,eu,United Kingdom,eugbr,GBR,1084,2021
Nicaragua,NIC,Europe,eu,Netherlands,eunld,NLD,247,2021
Nicaragua,NIC,North America,na,Canada,nacan,CAN,3000,2021
Nicaragua,NIC,North America,na,Guatemala,nagtm,GTM,763,2021
Nicaragua,NIC,North America,na,United States,nausa,USA,72450,2021
Nigeria,NGA,Europe,eu,Germany,eudeu,DEU,23950,2018
Nigeria,NGA,Europe,eu,Germany,eudeu,DEU,2357,2019
Nigeria,NGA,Europe,eu,Germany,eudeu,DEU,5271,2020
Nigeria,NGA,Europe,eu,Germany,eudeu,DEU,5639,2021
Nigeria,NGA,Europe,eu,United Kingdom,eugbr,GBR,13988,2021
Paraguay,PAR,North America,na,United States,nausa,USA,10,2021
Paraguay,PAR,Oceania,oc,Australia,ocaus,AUS,10,2021
Peru,PER,Asia,as,Japan,asjpn,JPN,5331,2018
Peru,PER,Europe,eu,Germany,eudeu,DEU,606,2018
Peru,PER,Asia,as,Israel,asisr,ISR,2000,2019
Peru,PER,Europe,eu,Germany,eudeu,DEU,597,2019
Peru,PER,Asia,as,Japan,asjpn,JPN,3194,2020
Peru,PER,Europe,eu,Germany,eudeu,DEU,2516,2020
Peru,PER,Asia,as,Hong Kong,ashkg,HKG,2550,2021
Peru,PER,Asia,as,Japan,asjpn,JPN,13412,2021
Peru,PER,Europe,eu,Germany,eudeu,DEU,2489,2021
Senegal,SEN,Europe,eu,Netherlands,eunld,NLD,118,2021
South Africa,ZAF,Africa,af,Botswana,afbwa,BWA,3791,2018
South Africa,ZAF,Africa,af,Morocco,afmar,MAR,112,2018
South Africa,ZAF,Africa,af,Namibia,afnam,NAM,19,2018
South Africa,ZAF,Africa,af,Zimbabwe,afzwe,ZWE,997,2018
South Africa,ZAF,Europe,eu,Spain,euesp,ESP,142596,2018
South Africa,ZAF,Europe,eu,Netherlands,eunld,NLD,24857,2018
South Africa,ZAF,Africa,af,Angola,afago,AGO,3136,2019
South Africa,ZAF,Africa,af,Botswana,afbwa,BWA,41234,2019
South Africa,ZAF,Africa,af,Lesotho,aflso,LSO,1522,2019
South Africa,ZAF,Africa,af,Morocco,afmar,MAR,233,2019
South Africa,ZAF,Africa,af,Madagascar,afmdg,MDG,346,2019
South Africa,ZAF,Africa,af,Zambia,afzmb,ZMB,41638,2019
South Africa,ZAF,Africa,af,Zimbabwe,afzwe,ZWE,1682,2019
South Africa,ZAF,Asia,as,Vietnam,asvnm,VNM,79004,2019
South Africa,ZAF,Europe,eu,Austria,euaut,AUT,92,2019
South Africa,ZAF,Europe,eu,Denmark,eudnk,DNK,7471,2019
South Africa,ZAF,Europe,eu,Spain,euesp,ESP,29561,2019
South Africa,ZAF,Europe,eu,Netherlands,eunld,NLD,10610,2019
South Africa,ZAF,North America,na,United States,nausa,USA,11134,2019
South Africa,ZAF,Oceania,oc,Australia,ocaus,AUS,3,2019
South Africa,ZAF,Africa,af,Benin,afben,BEN,6,2020
South Africa,ZAF,Africa,af,Botswana,afbwa,BWA,3403,2020
South Africa,ZAF,Africa,af,Kenya,afken,KEN,1,2020
South Africa,ZAF,Africa,af,Lesotho,aflso,LSO,866,2020
South Africa,ZAF,Africa,af,Morocco,afmar,MAR,81,2020
South Africa,ZAF,Africa,af,Tanzania,aftza,TZA,201,2020
South Africa,ZAF,Africa,af,Zambia,afzmb,ZMB,18902,2020
South Africa,ZAF,Africa,af,Zimbabwe,afzwe,ZWE,7674,2020
South Africa,ZAF,Asia,as,Israel,asisr,ISR,851,2020
South Africa,ZAF,Asia,as,Japan,asjpn,JPN,1539,2020
South Africa,ZAF,Europe,eu,Czechia,eucze,CZE,22,2020
South Africa,ZAF,Europe,eu,Germany,eudeu,DEU,68920,2020
South Africa,ZAF,Europe,eu,Spain,euesp,ESP,225414,2020
South Africa,ZAF,Europe,eu,United Kingdom,eugbr,GBR,1,2020
South Africa,ZAF,Europe,eu,Sweden,euswe,SWE,109,2020
South Africa,ZAF,North America,na,United States,nausa,USA,4704,2020
South Africa,ZAF,Africa,af,Botswana,afbwa,BWA,250,2021
South Africa,ZAF,Africa,af,Lesotho,aflso,LSO,7865,2021
South Africa,ZAF,Africa,af,Morocco,afmar,MAR,60,2021
South Africa,ZAF,Africa,af,Zambia,afzmb,ZMB,47337,2021
South Africa,ZAF,Africa,af,Zimbabwe,afzwe,ZWE,22845,2021
South Africa,ZAF,Asia,as,Israel,asisr,ISR,12320,2021
South Africa,ZAF,Asia,as,Japan,asjpn,JPN,3253,2021
South Africa,ZAF,Europe,eu,Switzerland,euche,CHE,153,2021
South Africa,ZAF,Europe,eu,Germany,eudeu,DEU,81299,2021
South Africa,ZAF,Europe,eu,Spain,euesp,ESP,390981,2021
South Africa,ZAF,Europe,eu,France,eufra,FRA,81,2021
South Africa,ZAF,Europe,eu,United Kingdom,eugbr,GBR,11758,2021
South Africa,ZAF,Europe,eu,Netherlands,eunld,NLD,7799,2021
South Africa,ZAF,Europe,eu,Portugal,euprt,PRT,1,2021
South Africa,ZAF,Europe,eu,Sweden,euswe,SWE,700,2021
South Africa,ZAF,North America,na,Canada,nacan,CAN,17,2021
South Africa,ZAF,North America,na,United States,nausa,USA,17865,2021
Suriname,SUR,Europe,eu,Netherlands,eunld,NLD,50132,2018
Suriname,SUR,Europe,eu,Netherlands,eunld,NLD,45978,2019
Suriname,SUR,Europe,eu,Netherlands,eunld,NLD,41101,2020
Suriname,SUR,Europe,eu,Netherlands,eunld,NLD,39715,2021
Togo,TGO,Europe,eu,Belgium,eubel,BEL,1,2018
Togo,TGO,Europe,eu,Germany,eudeu,DEU,791,2018
Togo,TGO,Europe,eu,France,eufra,FRA,2224,2018
Togo,TGO,South America,sa,Argentina,saarg,ARG,220,2018
Togo,TGO,Europe,eu,Belgium,eubel,BEL,61,2019
Togo,TGO,Europe,eu,Czechia,eucze,CZE,2418,2019
Togo,TGO,Europe,eu,France,eufra,FRA,1514,2019
Togo,TGO,Europe,eu,United Kingdom,eugbr,GBR,1583,2019
Togo,TGO,Europe,eu,France,eufra,FRA,8074,2020
Togo,TGO,Europe,eu,Belgium,eubel,BEL,5,2021
Togo,TGO,Europe,eu,France,eufra,FRA,4513,2021
Togo,TGO,Europe,eu,United Kingdom,eugbr,GBR,3493,2021
Zambia,ZMB,Africa,af,Namibia,afnam,NAM,4018,2021
Zambia,ZMB,Africa,af,South Africa,afzaf,ZAF,1617,2021
