Exporter,Continent,Continent ID,Country,Country ID,ISO 3,Trade Value,Year
ISR,Asia,as,Jordan,asjor,jor,93000,2021
ISR,Asia,as,Japan,asjpn,jpn,98000,2021
ISR,Asia,as,Kazakhstan,askaz,kaz,12000,2021
ISR,Asia,as,South Korea,askor,kor,7000,2021
ISR,Europe,eu,Austria,euaut,aut,2451,2021
ISR,Europe,eu,Belgium,eubel,bel,1344251,2021
ISR,Europe,eu,Belarus,eublr,blr,145000,2021
ISR,Europe,eu,Switzerland,euche,che,1366,2021
ISR,Europe,eu,Germany,eudeu,deu,2688,2021
ISR,Europe,eu,Denmark,eudnk,dnk,497,2021
ISR,Europe,eu,Spain,euesp,esp,1872200,2021
ISR,Europe,eu,Finland,eufin,fin,97,2021
ISR,Europe,eu,France,eufra,fra,708,2021
ISR,Europe,eu,United Kingdom,eugbr,gbr,1104809,2021
ISR,Europe,eu,Croatia,euhrv,hrv,250024,2021
ISR,Europe,eu,Italy,euita,ita,6459,2021
ISR,Europe,eu,Netherlands,eunld,nld,2145260,2021
ISR,Europe,eu,Russia,eurus,rus,351294,2021
ISR,Europe,eu,Ukraine,euukr,ukr,14684,2021
ISR,North America,na,Canada,nacan,can,316405,2021
ISR,North America,na,Dominican Republic,nadom,dom,2407,2021
ISR,North America,na,Mexico,namex,mex,2778000,2021
ISR,North America,na,United States,nausa,usa,4277515,2021
ISR,Oceania,oc,Australia,ocaus,aus,72000,2021
ISR,South America,sa,Chile,sachl,chl,26247,2021
